iter	MultiClass
0	1.094668205
1	1.09079875
2	1.087578107
3	1.082934495
4	1.079414465
5	1.07592802
6	1.073071009
7	1.068708039
8	1.066254388
9	1.063716308
10	1.060991258
11	1.058568532
12	1.055949764
13	1.053779678
14	1.051114535
15	1.04879492
16	1.046954931
17	1.044391968
18	1.041363438
19	1.039109401
20	1.036547812
21	1.033877183
22	1.03210256
23	1.029308631
24	1.02658099
25	1.024089733
26	1.022050137
27	1.020094952
28	1.01771884
29	1.015418293
30	1.013927597
31	1.011726676
32	1.010382604
33	1.008844034
34	1.006175004
35	1.004581404
36	1.002840667
37	1.001613659
38	1.000291563
39	0.9979252778
40	0.9961380957
41	0.9937545604
42	0.9921638382
43	0.9899172874
44	0.9884221291
45	0.9864090665
46	0.9843275568
47	0.9822041917
48	0.9799640558
49	0.9783647858
50	0.9765801556
51	0.9747429478
52	0.973344172
53	0.9722454417
54	0.9707630735
55	0.9685735869
56	0.9667492796
57	0.9649718861
58	0.963401693
59	0.9623118583
60	0.9614051677
61	0.9600138472
62	0.9586299522
63	0.9569586622
64	0.9559401534
65	0.9542339837
66	0.9529959349
67	0.95127911
68	0.9500682592
69	0.948455545
70	0.9462017884
71	0.9449036635
72	0.9437948599
73	0.942117458
74	0.9403385998
75	0.9392016241
76	0.9381190256
77	0.936241652
78	0.9349016426
79	0.9335714267
80	0.9320575066
81	0.930458499
82	0.9296195849
83	0.9286461931
84	0.927402655
85	0.9256559965
86	0.9238027583
87	0.9221264634
88	0.9207246645
89	0.9194416887
90	0.91829461
91	0.9166731447
92	0.9147314666
93	0.9131953603
94	0.9113327714
95	0.9102321942
96	0.9089733194
97	0.9082052554
98	0.9066796995
99	0.9057646277
100	0.9046284644
101	0.9034734183
102	0.9024008991
103	0.9011780495
104	0.9000959801
105	0.8986555702
106	0.8974991739
107	0.8965035837
108	0.895567291
109	0.8950129484
110	0.8936540337
111	0.8924790489
112	0.8911610886
113	0.8895394868
114	0.8884667676
115	0.8878187057
116	0.886609819
117	0.8850594473
118	0.884039629
119	0.882932239
120	0.8815848107
121	0.8805874311
122	0.8795354882
123	0.878954195
124	0.8779639876
125	0.877110359
126	0.8760307397
127	0.8754567747
128	0.874842498
129	0.873830784
130	0.8726804402
131	0.8715054058
132	0.8706513047
133	0.8698543567
134	0.8694051554
135	0.8682259115
136	0.8675373067
137	0.8666144189
138	0.8661579571
139	0.8653833388
140	0.8647945068
141	0.8641219901
142	0.8634218424
143	0.8625556029
144	0.8615852611
145	0.8605302255
146	0.8597670613
147	0.8590263597
148	0.8581814242
149	0.8569611562
150	0.8560467443
151	0.8549680742
152	0.8537442655
153	0.852582963
154	0.8516079913
155	0.8509229364
156	0.8501696895
157	0.849422763
158	0.8486146078
159	0.847959068
160	0.8467031749
161	0.8460430447
162	0.8448291581
163	0.8439892522
164	0.8430525677
165	0.8422726748
166	0.8417140291
167	0.8407114693
168	0.8392759538
169	0.8381496412
170	0.8372178728
171	0.8363984867
172	0.8356789327
173	0.8349376586
174	0.8344674643
175	0.8339625222
176	0.8330818868
177	0.8321173858
178	0.8310874996
179	0.8304603192
180	0.8299607058
181	0.828829308
182	0.8281264162
183	0.8272718881
184	0.8267067228
185	0.8257948057
186	0.824752332
187	0.8241952061
188	0.8236715404
189	0.8229164595
190	0.8219734863
191	0.821008783
192	0.8204659358
193	0.8194838088
194	0.8183854113
195	0.8178494999
196	0.8168644345
197	0.8160411662
198	0.815262976
199	0.8147670802
200	0.8138230076
201	0.813029751
202	0.8123748163
203	0.8116434624
204	0.8109854286
205	0.810214932
206	0.8093816133
207	0.8084681554
208	0.8073370599
209	0.806851184
