iter	Passed	Remaining
0	99	99729
1	142	71049
2	189	62893
3	235	58584
4	284	56624
5	335	55624
6	387	54938
7	438	54330
8	490	54008
9	543	53759
10	598	53790
11	658	54200
12	718	54515
13	782	55128
14	846	55586
15	918	56458
16	988	57137
17	1057	57702
18	1120	57845
19	1181	57893
20	1244	58006
21	1314	58432
22	1379	58597
23	1445	58800
24	1511	58931
25	1573	58957
26	1646	59330
27	1719	59693
28	1784	59749
29	1850	59847
30	1916	59905
31	1982	59982
32	2045	59945
33	2116	60136
34	2182	60166
35	2245	60124
36	2307	60050
37	2365	59892
38	2426	59793
39	2485	59648
40	2541	59447
41	2598	59262
42	2655	59100
43	2717	59047
44	2776	58914
45	2836	58821
46	2893	58678
47	2951	58544
48	3012	58467
49	3071	58362
50	3133	58300
51	3193	58213
52	3254	58147
53	3314	58069
54	3377	58033
55	3448	58128
56	3517	58186
57	3585	58228
58	3649	58199
59	3745	58681
60	3794	58410
61	3845	58182
62	3900	58018
63	3955	57855
64	4018	57809
65	4083	57785
66	4143	57697
67	4200	57577
68	4258	57457
69	4314	57315
70	4371	57193
71	4427	57064
72	4483	56930
73	4540	56822
74	4597	56698
75	4655	56603
76	4716	56540
77	4774	56440
78	4844	56481
79	4912	56489
80	4981	56521
81	5046	56497
82	5108	56440
83	5171	56390
84	5230	56306
85	5290	56228
86	5347	56119
87	5413	56107
88	5474	56038
89	5535	55970
90	5593	55877
91	5651	55781
92	5706	55653
93	5764	55563
94	5823	55477
95	5878	55356
96	5937	55277
97	5996	55188
98	6061	55164
99	6126	55142
100	6193	55125
101	6257	55092
102	6318	55027
103	6381	54976
104	6441	54904
105	6501	54831
106	6560	54753
107	6620	54677
108	6682	54621
109	6745	54578
110	6809	54539
111	6879	54542
112	6947	54533
113	7013	54511
114	7079	54480
115	7139	54406
116	7199	54334
117	7257	54244
118	7317	54171
119	7377	54098
120	7447	54102
121	7512	54064
122	7574	54006
123	7633	53925
124	7691	53842
125	7755	53794
126	7818	53746
127	7882	53698
128	7943	53633
129	8006	53579
130	8079	53593
131	8143	53551
132	8206	53496
133	8268	53436
134	8328	53365
135	8389	53300
136	8451	53236
137	8512	53170
138	8574	53110
139	8637	53057
140	8702	53016
141	8763	52952
142	8831	52924
143	8901	52914
144	8969	52888
145	9036	52859
146	9106	52844
147	9164	52755
148	9222	52675
149	9285	52619
150	9346	52551
151	9408	52488
152	9471	52431
153	9529	52351
154	9588	52272
155	9650	52212
156	9711	52145
157	9775	52095
158	9845	52074
159	9915	52056
160	9978	52002
161	10043	51954
162	10107	51902
163	10167	51829
164	10227	51756
165	10283	51666
166	10339	51572
167	10394	51479
168	10450	51385
169	10508	51303
170	10564	51216
171	10619	51122
172	10677	51044
173	10735	50961
174	10793	50885
175	10852	50810
176	10912	50740
177	10973	50674
178	11034	50610
179	11092	50533
180	11151	50458
181	11210	50385
182	11268	50307
183	11327	50237
184	11388	50169
185	11455	50132
186	11522	50095
187	11584	50033
188	11644	49967
189	11705	49902
190	11764	49828
191	11821	49750
192	11880	49676
193	11937	49595
194	12001	49542
195	12066	49496
196	12127	49432
197	12189	49371
198	12246	49291
199	12302	49210
200	12359	49132
201	12417	49055
202	12472	48967
203	12528	48886
204	12588	48819
205	12645	48741
206	12704	48669
207	12766	48611
208	12836	48583
209	12909	48565
210	12976	48523
211	13041	48476
212	13104	48419
213	13163	48349
214	13223	48282
215	13280	48203
216	13338	48128
217	13394	48046
218	13451	47972
219	13508	47893
220	13566	47820
221	13630	47766
222	13693	47710
223	13752	47641
